año,liga,valor_total
2004,Bundesliga,185130000
2004,LaLiga,418625000
2004,Ligue 1,407800000
2004,Premier League,706075000
2004,Serie A,691520000
2005,Bundesliga,279300000
2005,LaLiga,247850000
2005,Ligue 1,339880000
2005,Premier League,765175000
2005,Serie A,741835000
2006,Bundesliga,357600000
2006,LaLiga,420975000
2006,Ligue 1,470350000
2006,Premier League,949200000
2006,Serie A,800200000
2007,Bundesliga,471150000
2007,LaLiga,1042330000
2007,Ligue 1,773225000
2007,Premier League,1252960000
2007,Serie A,1444395000
2008,Bundesliga,652750000
2008,LaLiga,1322075000
2008,Ligue 1,1001700000
2008,Premier League,1450525000
2008,Serie A,1844625000
2009,Bundesliga,883175000
2009,LaLiga,1617300000
2009,Ligue 1,1134875000
2009,Premier League,1819250000
2009,Serie A,2021430000
2010,Bundesliga,1138475000
2010,LaLiga,1767625000
2010,Ligue 1,1327125000
2010,Premier League,1965955000
2010,Serie A,2436800000
2011,Bundesliga,1306500000
2011,LaLiga,1921325000
2011,Ligue 1,1412450000
2011,Premier League,2083625000
2011,Serie A,2388875000
2012,Bundesliga,1464375000
2012,LaLiga,2190600000
2012,Ligue 1,1431790000
2012,Premier League,2280575000
2012,Serie A,2451875000
2013,Bundesliga,1555275000
2013,LaLiga,2357450000
2013,Ligue 1,1479200000
2013,Premier League,2492915000
2013,Serie A,2687300000
2014,Bundesliga,1723000000
2014,LaLiga,2596950000
2014,Ligue 1,1524275000
2014,Premier League,2582990000
2014,Serie A,2719100000
2015,Bundesliga,1728825000
2015,LaLiga,2935525000
2015,Ligue 1,1611400000
2015,Premier League,2768625000
2015,Serie A,2755675000
2016,Bundesliga,1883150000
2016,LaLiga,3219325000
2016,Ligue 1,1704225000
2016,Premier League,3211400000
2016,Serie A,3024050000
2017,Bundesliga,2322200000
2017,LaLiga,3666925000
2017,Ligue 1,2017350000
2017,Premier League,3751750000
2017,Serie A,3658850000
2018,Bundesliga,3072450000
2018,LaLiga,5725025000
2018,Ligue 1,3005875000
2018,Premier League,5795875000
2018,Serie A,4654800000
2019,Bundesliga,3414600000
2019,LaLiga,6364125000
2019,Ligue 1,3534475000
2019,Premier League,7492500000
2019,Serie A,5238950000
2020,Bundesliga,3136550000
2020,LaLiga,5623225000
2020,Ligue 1,3245775000
2020,Premier League,7427825000
2020,Serie A,4841230000
2021,Bundesliga,3178785000
2021,LaLiga,5506225000
2021,Ligue 1,3195855000
2021,Premier League,8215245000
2021,Serie A,4883720000
2022,Bundesliga,3401095000
2022,LaLiga,5529270000
2022,Ligue 1,3263610000
2022,Premier League,9734585000
2022,Serie A,4924785000
2023,Bundesliga,4029890000
2023,LaLiga,5599185000
2023,Ligue 1,3490905000
2023,Premier League,11717335000
2023,Serie A,5465045000
2024,Bundesliga,4060325000
2024,LaLiga,5399900000
2024,Ligue 1,3280550000
2024,Premier League,12291350000
2024,Serie A,5109585000
2025,Bundesliga,4065375000
2025,LaLiga,2388200000
2025,Ligue 1,2969800000
2025,Premier League,10660375000
2025,Serie A,3607550000
